"life_expectancy","health_expenditure","waged_workers","gdp","employment_ratio","expense","country"
76.9614634146342,NA,NA,10425.4068209429,NA,16.6950047053222,"Japan"
77.3653658536585,NA,NA,10984.8658284904,NA,16.1279763739069,"Japan"
77.650487804878,NA,NA,11584.6493269017,NA,15.734552843092,"Japan"
78.0646341463415,NA,NA,17111.8537325384,NA,15.4113890087708,"Japan"
78.4836585365854,NA,NA,20745.2520919399,NA,15.0139583789991,"Japan"
78.3992682926829,NA,NA,25051.8543154389,NA,14.5711299675288,"Japan"
78.8180487804878,NA,NA,24813.2993783357,NA,15.0148504256774,"Japan"
78.8368292682927,NA,NA,25359.34702031,NA,14.0808648867911,"Japan"
79.1007317073171,NA,78.5370025634766,28925.0415756881,62.5810012817383,NA,"Japan"
79.1539024390244,NA,79.5370025634766,31464.549046228,62.7939987182617,NA,"Japan"
79.2936585365854,NA,80.6510009765625,35765.9140886748,62.4379997253418,NA,"Japan"
79.6870731707317,NA,81.140998840332,39268.5668686204,61.9720001220703,15.2392930780677,"Japan"
79.5363414634147,NA,81.5080032348633,43440.3678678967,61.5839996337891,15.2247319583948,"Japan"
80.200243902439,NA,82.0540008544922,38436.9263119118,61.5340003967285,15.1676024030875,"Japan"
80.4241463414634,NA,82.2170028686523,35021.7190917159,61.7130012512207,14.6325746406624,"Japan"
80.5014634146342,NA,82.4069976806641,31902.7670955137,60.9529991149902,20.3949632954198,"Japan"
80.5707317073171,NA,82.4980010986328,36026.5560750168,60.0820007324219,17.5419963906601,"Japan"
81.0760975609756,7.15091324,83.0899963378906,38532.0408752935,59.6469993591309,17.3424073391987,"Japan"
81.4170731707317,7.35919762,83.734001159668,33846.4656414342,59.1290016174316,16.4687718090649,"Japan"
81.5634146341463,7.47336435,84.2180023193359,32289.3505360726,58.226001739502,16.3622593007332,"Japan"
81.76,7.61100292,84.4680023193359,34808.3909176613,57.9300003051758,15.9774133019222,"Japan"
82.030243902439,7.65719414,84.6110000610352,37688.7223359406,57.8600006103516,15.3408652474809,"Japan"
81.9251219512195,7.78066874,84.8489990234375,37217.648727917,57.9440002441406,15.3154696672294,"Japan"
